0 -4.151
1 -4.114
2 -4.001
3 -4.021
4 -3.865
5 -3.902
6 -3.867
7 -3.778
8 -3.799
9 -3.627
10 -3.634
11 -3.571
12 -3.568
13 -3.472
14 -3.433
15 -3.420
16 -3.365
17 -3.314
18 -3.273
19 -3.258
20 -3.191
21 -3.051
22 -3.003
23 -3.028
24 -3.004
25 -2.937
26 -2.874
27 -2.804
28 -2.732
29 -2.727
30 -2.619
31 -2.580
32 -2.566
33 -2.458
34 -2.398
35 -2.367
36 -2.433
37 -2.319
38 -2.264
39 -2.218
40 -2.170
41 -2.145
42 -2.100
43 -2.055
44 -2.017
45 -2.019
46 -1.939
47 -1.819
48 -1.681
49 -1.747
50 -1.633
51 -1.605
52 -1.542
53 -1.551
54 -1.447
55 -1.366
56 -1.351
57 -1.324
58 -1.278
59 -1.208
60 -1.219
61 -1.188
62 -1.065
63 -1.001
64 -0.942
65 -0.889
66 -0.862
67 -0.755
68 -0.780
69 -0.761
70 -0.698
71 -0.592
72 -0.538
73 -0.531
74 -0.475
75 -0.432
76 -0.339
77 -0.308
78 -0.193
79 -0.227
80 -0.180
81 -0.191
82 -0.164
83 
84 
85 
86 
87 
88 
89 
90 
91 
92 
