0 4.919
1 4.911
2 4.864
3 4.829
4 4.715
5 4.708
6 4.568
7 4.632
8 4.471
9 4.488
10 4.381
11 4.339
12 4.232
13 4.333
14 4.287
15 4.220
16 4.160
17 4.066
18 4.002
19 3.922
20 3.964
21 3.869
22 3.877
23 3.767
24 3.711
25 3.673
26 3.566
27 3.596
28 3.618
29 3.428
30 3.431
31 3.435
32 3.269
33 3.272
34 3.217
35 3.173
36 3.132
37 3.026
38 3.006
39 2.957
40 2.880
41 2.855
42 2.830
43 2.800
44 2.753
45 2.591
46 2.616
47 2.591
48 2.569
49 2.538
50 2.437
51 2.350
52 2.303
53 2.304
54 2.293
55 2.184
56 2.129
57 2.121
58 2.032
59 1.887
60 1.886
61 1.852
62 1.780
63 1.794
64 1.693
65 1.636
66 1.608
67 1.585
68 1.545
69 1.464
70 1.472
71 1.393
72 1.332
73 1.274
74 1.280
75 1.263
76 1.166
77 1.092
78 1.082
79 1.038
80 0.955
81 0.974
82 0.891
83 
84 
85 
86 
87 
88 
89 
90 
91 
92 
